word;Source Language;Target Language;Translation
przyjął ;polish;german;verstanden
witam;polish;german;Hallo
przelocik jest;polish;german;Durchfahrt ist
podłączony;polish;german;gekoppelt
podlaczony ;polish;german;gekoppelt
na wagony;polish;german;auf Wagengruppe
nwm;polish;german;Ich weiss es nicht
nie wiem ;polish;german;Ich weiss es nicht
podłacz ;polish;german;kuppeln
podlacz ;polish;german;kuppeln
zpięte ;polish;german;gekuppelt
zpiete ;polish;german;gekuppelt
tak tak;polish;german;ja,ja
tak;polish;german;ja
git;polish;german;Ist ok
Lewym;polish;german;auf Gegengleis
Bry;polish;german;Hallo
wznowic;polish;german;reaktivieren
odpinamy ;polish;german;abkoppeln
przelot ;polish;german;Durchfahrt
SUP;polish;german;SUP
odhamowanie;polish;german;Lösen der Bremsen
pewnie;polish;german;sicher
dobry;polish;german;Hallo
obojętnie;polish;german;egal
Spychamy;polish;german;schieben
wyjazd;polish;german;Ausfahrt
dasz mi rj;polish;german;Gibst du mir einen Fahrplan?
ruchu ;polish;german;Verkehr
lużik ;polish;german;Einzellok
na bok;polish;german;auf die Seite
witam;polish;english;Hello
tak;polish;english;Yes
wjazd podany;polish;english;Entry given
szlak zajęty;polish;english;Track is occupied
Przyjąłem;polish;english;Understood
Przyjąłem;polish;german;Verstanden
