text,language,translation
Przyjąłem,German,Verstanden
Przyjąłem,English,Understood
witam,English,hello
witam,German,Hallo
wjazd podany,German,Einfahrt gegeben
wjazd podany,English,Entry given
szlak zajęty,German,Strecke ist belegt
szlak zajęty,English,Track is occupied  
Tak,German,Ja
Tak,English,yes
Nie,German,Nein
Nie,English,No
Dzięki,German,Danke
Dzięki,English,Thank you
Pa Pa,German,Tschüss
Pa Pa,English,Bye
Do peronu,German,Zum Bahnsteig
Do peronu,English,To the peron
Zajęty,German,Besetzt
Zajęty,English,Occupied
słucham,German,Ich höre
słucham,English,I listen
slucham,German,Ich höre
slucham,English,I listen
bry analiza,German,Hallo analyse bitte
bry analiza,English,Hello analysis please
czuwak,German,czuwak
czuwak,English,czuwak
shp,German,shp
shp,English,shp
o7,German,o7
o7,English,o7
przelot podany,German,Durchfahrt gestellt
przelot podany,English,Passage given
hi,German,hi
hi,English,hi
papa,German,Tschüss
papa,English,bye
Miłego papa,German,Hab einen schönen Tag und bis zum nächsten mal. bye
Miłego papa,English,have a nice day and bye
Milego papa,German,Hab einen schönen Tag und bis zum nächsten mal. bye
Milego papa,English,have a nice day and bye
zw,German,afk
zw,English,afk
z/w,German,afk
z/w,English,afk
Wn ++,German,Wn ++
Wn ++,English,Wn ++
bry,German,Hallo
bry,English,Hello
do zobazenia,German,Bis bald
do zobazenia,English,See you
exit given,German,Ausfahrt gegeben
entry given,German,Einfahrt steht
all free,German, Durchfahrt frei      
oh przyjazd,German,Oh Verstanden
oh przyjazd,English,Oh understood       
++,German,++
++,English,++
++ o7,German,++ o7
++ o7,English,++ o7
servus,German,servus
servus,English,Hi
usun rj,German, Bitte den Fahrplan löschen
usun rj,English,Please delete the timetable
