Source,Target
++,++
++ o7,++ o7
Aleksandrow Kujawski,Aleksandrow Kujawski
Aleksandrów Kujawski,Aleksandrów Kujawski
All free,Durchfahrt frei
all free,Durchfahrt frei
Anicze,Anicze
"Anicze, podg","Anicze, podg"
ARKADIA ZDROJ,ARKADIA ZDROJ
Arkadia Zdroj,Arkadia Zdroj
Arkadia Zdroj 2012,Arkadia Zdroj 2012
Arkadia Zdroj 2022,Arkadia Zdroj 2022
ARKADIA ZDRÓJ,ARKADIA ZDRÓJ
Arkadia Zdrój,Arkadia Zdrój
Arkadia Zdrój 2012,Arkadia Zdrój 2012
Arkadia Zdrój 2022,Arkadia Zdrój 2022
B. Sudecka,B. Sudecka
B. Sudecka BSA,B. Sudecka BSA
"B. Sudecka BSA, podg","B. Sudecka BSA, podg"
B. Sudecka BSB,B. Sudecka BSB
"B. Sudecka BSB, podg","B. Sudecka BSB, podg"
B. Sudecka GT,B. Sudecka GT
Babimost,Babimost
BB Leszczyny,BB Leszczyny
BB Lipnik,BB Lipnik
"BB Lipnik, podg","BB Lipnik, podg"
Belchow,Belchow
Berety Kamielskie,Berety Kamielskie
Beznazwa,Beznazwa
Bełchów,Bełchów
Biala Sudecka,Biala Sudecka
Biała Sudecka,Biała Sudecka
Blaszki,Blaszki
Bocznica ACT,Bocznica ACT
Borki,Borki
"Borki, podg","Borki, podg"
Borowiki,Borowiki
"Borowiki, podg","Borowiki, podg"
Borowy Mlyn,Borowy Mlyn
Borowy Młyn,Borowy Młyn
Brenno,Brenno
Breslau,Breslau
Bronowice,Bronowice
Bry,Hallo
bry,Hallo
Bry analiza,Hallo analyse bitte
bry analiza,Hallo analyse bitte
Brzezinka Sredzka,Brzezinka Sredzka
Brzezinka Średzka,Brzezinka Średzka
Brzezno,Brzezno
Brzeźno,Brzeźno
Buczek,Buczek
Byki Polnoc,Byki Polnoc
"Byki Polnoc, podg","Byki Polnoc, podg"
Byki Poludnie,Byki Poludnie
"Byki Poludnie, podg","Byki Poludnie, podg"
Byki Południe,Byki Południe
"Byki Południe, podg","Byki Południe, podg"
Byki Północ,Byki Północ
"Byki Północ, podg","Byki Północ, podg"
Byki Wschod,Byki Wschod
"Byki Wschod, podg","Byki Wschod, podg"
Byki Wschód,Byki Wschód
"Byki Wschód, podg","Byki Wschód, podg"
Byki Zachod,Byki Zachod
Byki Zachód,Byki Zachód
Bystra Woda,Bystra Woda
Bytkoszcz,Bytkoszcz
Chelm,Chelm
Chelm Wschodni,Chelm Wschodni
Chelmik Wolowski,Chelmik Wolowski
"Chelmik Wolowski, podg","Chelmik Wolowski, podg"
Chelminiwaznice,Chelminiwaznice
"Chelminiwaznice, podg","Chelminiwaznice, podg"
Chełm,Chełm
Chełm Wschodni,Chełm Wschodni
Chełmik Wołowski,Chełmik Wołowski
"Chełmik Wołowski, podg","Chełmik Wołowski, podg"
Chełminiwaźnice,Chełminiwaźnice
"Chełminiwaźnice, podg","Chełminiwaźnice, podg"
Chlorkowice,Chlorkowice
Chocicza,Chocicza
Chociszew,Chociszew
Ciborz Las,Ciborz Las
"Ciborz Las, podg","Ciborz Las, podg"
Ciborz Most,Ciborz Most
"Ciborz Most, podg","Ciborz Most, podg"
Cibórz Las,Cibórz Las
"Cibórz Las, podg","Cibórz Las, podg"
Cibórz Most,Cibórz Most
"Cibórz Most, podg","Cibórz Most, podg"
Cieplownia,Cieplownia
"Cieplownia, podg","Cieplownia, podg"
Ciepłownia,Ciepłownia
"Ciepłownia, podg","Ciepłownia, podg"
Cieszowice,Cieszowice
Cis 2018,Cis 2018
Czarnca,Czarnca
"Czarnca, podg","Czarnca, podg"
Czerakow,Czerakow
Czeraków,Czeraków
Czerepy,Czerepy
Czermin,Czermin
Czerwiensk,Czerwiensk
Czerwiensk Poludnie,Czerwiensk Poludnie
"Czerwiensk Poludnie, podg","Czerwiensk Poludnie, podg"
Czerwiensk Towarowy,Czerwiensk Towarowy
Czerwiensk Wschod,Czerwiensk Wschod
"Czerwiensk Wschod, podg","Czerwiensk Wschod, podg"
Czerwieńsk,Czerwieńsk
Czerwieńsk Południe,Czerwieńsk Południe
"Czerwieńsk Południe, podg","Czerwieńsk Południe, podg"
Czerwieńsk Towarowy,Czerwieńsk Towarowy
Czerwieńsk Wschód,Czerwieńsk Wschód
"Czerwieńsk Wschód, podg","Czerwieńsk Wschód, podg"
Czorna Kaszubska,Czorna Kaszubska
Czorna Kaszubska GT,Czorna Kaszubska GT
Czuwak,czuwak
czuwak,czuwak
Dabrowno,Dabrowno
Debina,Debina
"Debina, podg","Debina, podg"
Do peronu,Zum Bahnsteig
do peronu,Zum Bahnsteig
Do zobazenia,Bis bald
do zobazenia,Bis bald
DOBRZ. MACICE,DOBRZ. MACICE
DOBRZ. MĄCICE,DOBRZ. MĄCICE
Dobrzyca DTA,Dobrzyca DTA
Dobrzyca DTB,Dobrzyca DTB
Dobrzyca DTC,Dobrzyca DTC
